col1,col2,col3,col4 
_K2247-1_K2247-2_K2247-3_K2247-4_K2247-5_________________,2018-10-20,Y5731D+,YH2333-7
_K2240-1_K2240-2_K2240-3_K2240-4_K2240-5_K2240-6_K2240-7_K2240-8______________,2018-10-18,L7120D+,LJ0080-3
_K2229-1_____________________,2018-10-16,YJ0670-5+,YJ0039-1
_K1970-1_K1970-2____________________,2018-09-07,L7170D+,LJ1541-6
_K1666-1_K1666-2_K1666-3_K1666-4_K1666-5_K1666-6________________,2018-08-01,L7120D+,L8031D
_K1653-1_K1653-2_K1653-3_K1653-4_K1653-5_K1653-6_K1653-7_______________,2018-07-31,L7120D+,L5138D
__,2018-07-31,L7070D+,L5181D
_K1650-1_K1650-3_K1650-4_K1650-5_K1650-6_K1650-7________________,2018-07-31,Y5818D+,Y4009D
_K1652-1_K1652-2____________________,2018-07-31,L379-4+,Y4607D
_K1624-1_K1624-2_K1624-3_K1624-4_K1624-5_K1624-6_K1624-7_K1624-8_K1624-9_K1624-10____________,2018-07-28,Y5818D+,Y11151D
_YK1617-1_YK1617-2_YK1617-3_YK1617-4_YK1617-5_YK1617-6_YK1617-7_______________,2018-07-28,Y6190D+,Y4471D
_K1629-1_K1629-2_K1629-3_K1629-4_K1629-5_K1629-6_K1629-7_K1629-8______________,2018-07-27,Y6213D+,YJ0281-4
_K1645-1_K1645-2_K1645-3_K1645-4_K1645-5_________________,2018-07-27,L7070D+,L5203D
_K1646-1_K1646-2_K1646-3_K1646-4_K1646-5_________________,2018-07-27,L4868D+,L8482D
_K1633-1_K1633-2_K1633-3___________________,2018-07-27,Y6190D+,Y3242D
_YK1614-1_YK1614-2_YK1614-3_YK1614-4_YK1614-5_YK1614-6_YK1614-7_YK1614-8______________,2018-07-27,Y6190D+,Y4226D
_K1627-1_K1627-2_K1627-3_K1627-4_K1627-5_K1627-6_K1627-7_K1627-8______________,2018-07-27,Y5818D+,Y3882D
_K1631-1_K1631-2_K1631-3_K1631-4_K1631-5_________________,2018-07-27,Y724-4+,Y4101D
_YK1606-1_YK1606-2_YK1606-3_YK1606-4_YK1606-5_________________,2018-07-26,Y6190D+,Y4374D
_YK1608-1_YK1608-2_YK1608-3_YK1608-4_YK1608-5_YK1608-6________________,2018-07-26,Y5818D+,Y4409D
_YK1607-1_YK1607-2_YK1607-3_YK1607-4__________________,2018-07-26,Y6190D+,Y4413D
_K1637-1_K1637-2_K1637-3_K1637-4__________________,2018-07-25,L4868D+,L8444D
_YK1529-1_YK1529-2_YK1529-3___________________,2018-07-18,Y5778D+,YJ1001-2
__,2018-07-16,Y724-4+,YJ0314-4
_LK1514-1_LK1514-2_LK1514-3_LK1514-4__________________,2018-07-16,L7070D+,L8066D
_LK1489-1_LK1489-2_LK1489-3_LK1489-4_LK1489-1+_LK1489-2+________________,2018-07-14,L7094D+,L7975D
_LK1496-1_LK1496-2_LK1496-3_LK1496-4_LK1496-1+_LK1496-2+________________,2018-07-14,L7094D+,L8321D
_K1636-1_K1636-2_K1636-3_K1636-4_K1636-5_K1636-6_K1636-7_K1636-8______________,2018-07-14,Y6023D+,Y3835D
_YK1478-1_YK1478-2_YK1478-3_YK1478-4_YK1478-5_________________,2018-07-13,Y5731D+,Y4362D
_YK1476-1_YK1476-2_YK1476-3_YK1476-4_YK1476-5_YK1476-6_YK1476-7_______________,2018-07-12,Y5780D+,Y11482D
_YK1477-1_YK1477-2_YK1477-3_YK1477-4_YK1477-5_YK1477-6_YK1477-7_YK1477-8_YK1477-9_YK1477-10____________,2018-07-12,Y5780D+,Y3770D
_YK1470-1_YK1470-2_YK1470-3_YK1470-4_YK1470-5_YK1470-6_YK1470-7_______________,2018-07-12,Y724-4+,Y3856D
_YK1472-1_YK1472-2_YK1472-3_YK1472-4_YK1472-5_YK1472-6_YK1472-7_______________,2018-07-12,Y6023D+,Y3876D
_YK1474-1_YK1474-2_YK1474-3_YK1474-4_YK1474-5_YK1474-6________________,2018-07-12,Y5731D+,Y3883D
__,2018-07-12,L7170D+,Y4678D
_YK1468-1_YK1468-2_YK1468-3___________________,2018-07-11,Y5731D+,Y10994D
_YK1466-1_YK1466-2_YK1466-3_YK1466-4_YK1466-5_YK1466-6________________,2018-07-11,Y5731D+,Y3888D
_YK1463-1_YK1463-2_YK1463-3_YK1463-4__________________,2018-07-11,Y5731D+,Y3933D
_YK1464-1_YK1464-2_YK1464-3_YK1464-4_YK1464-5_________________,2018-07-11,Y5731D+,Y4443D
_LK1465-1_LK1465-2_LK1465-3_LK1465-4__________________,2018-07-11,L7066D+,L7745D
_YK1460-1_YK1460-2_YK1460-3___________________,2018-07-10,Y5780D+,Y11028D
_YK1454-1_YK1454-2_YK1454-3_YK1454-4_YK1454-5_YK1454-6_YK1454-7_YK1454-8______________,2018-07-10,Y5780D+,Y3861D
_YK1461-1_YK1461-2_YK1461-3_YK1461-4_YK1461-5_________________,2018-07-10,Y5731D+,Y3926D
_YK01462-1_YK01462-2_YK01462-3_YK01462-4_YK01462-5_________________,2018-07-08,Y5780D+,Y3917D
_LK1433-1_LK1433-2_LK1433-3_LK1433-4__________________,2018-07-05,L4770D+,LJ0080-4
_YK1444-1_YK1444-2_YK1444-3_YK1444-4_YK1444-5_YK1444-6________________,2018-07-05,Y5731D+,Y3855D
_LK1424-1_LK1424-2_LK1424-3_LK1424-4_LK1424-5_LK1424-6_LK1424-7_LK1424-8______________,2018-07-04,L1420-7+,L7674D
_LK1201-1_LK1201-2_LK1201-3_LK1201-4_LK1201-5_LK1201-6_LK1201-7_LK1201-8______________,2018-06-11,L4868D+,LH2388-11
_YK1190-1_YK1190-2_YK1190-3_YK1190-4_YK1190-5_________________,2018-06-10,Y724-4+,Y11984D
_YK1106-1_YK1106-2_YK1106-3_YK1106-4_YK1106-5_YK1106-6_YK1106-7_______________,2018-05-29,Y879-7+,YJ0093-3
_YK1093-1_YK1093-2_YK1093-3_YK1093-4_YK1093-5_YK1093-6_YK1093-7_YK1093-8______________,2018-05-27,Y879-7+,YH2289-1
_LK1078-1_LK1078-2_LK1078-3___________________,2018-05-26,L7170D+,LH2335-2
_YK1073-1_YK1073-2_YK1073-3_YK1073-4__________________,2018-05-25,Y6035D+,YJ0030-11
_LK1047-1_LK1047-2_LK1047-3_LK1047-4__________________,2018-05-23,L379-4+,LHC0770-5
_YK0940-1_YK0940-2_YK0940-3_YK0940-4_YK0940-5_YK0940-6________________,2018-04-25,Y2022-10+,Y3833D
